"album_id","album_name","artist_name"
"3JR7M4KGnmG9GdJYJfzIEN","Wranglers","Miranda Lambert"
"5LUbA5E8vsyAbFgmS2CZin","American Girl","Dierks Bentley"
"4xbpCWaXMdAaDvEKAi02PX","Jump","Tyla"
"1FGGv0vvSTerGQ91Mkvf9p","Born in the Wild","Tems"
"6GzjzeW0x2sSVA6jMCK03p","Here We Go (Uh Oh)","Coco Jones"
"10WCcQKzXZot04kzENu62Z","What You Heard","Sonder"
"02yEzrnHv7VxZRbPxvldOM","Wake Up (feat. Chris Brown)","Skylar Blatt"
"0Tu7Vpu49X7oduL2AVbKZq","Sincere","Khalid"
"6y9r1oC9yM77p61DLbqInC","Wait On It (feat. Bryson Tiller & Chris Brown)","Jeremih"
"2kcWf4LiavA3V6quKqSXAB","REDRUM Wizard (Gangsta Grillz)","Big Boogie"
"5ZCLXEpYcnGzasXWzgu966","NANi","Saweetie"
"56QjItp9BaAC2e7GkYZLwd","Risk It All (From the Original Motion Picture “The Color Purple”)","USHER"
"2npyrWGwp8piWUHCoaulZB","Alright (Single Pack)","Victoria Monét"
"4L587s3QXoaroQTIdDWBiW","Algorithm","Lucky Daye"
"0N3WiYZJtpKqmIQzIeEI7E","Still Believe In Love","Mary J. Blige"
"4GrRadxE97lHsEePyiZLeR","Breathing (feat. Fabolous)","Mary J. Blige"
"4zqd0pJeSANOHYaNRlR4hV","One Wish (feat. Childish Gambino)","Ravyn Lenae"
"6lCHEpHcYgC24XO87InJjZ","Quantum Baby","Tinashe"
"4L587s3QXoaroQTIdDWBiW","Algorithm","Lucky Daye"
